Feature,F-Score,Kappa,Precision,Recall
stats_are,0.031023784901758014,0.0023901092931795085,1.0,0.015756302521008403
stats_sorted,0.014598540145985401,0.0011073639704031783,1.0,0.007352941176470588
status,0.11671612265084076,0.009791127639191663,1.0,0.06197478991596639
status_</font>,0.012526096033402923,9.483167377904324E-4,1.0,0.0063025210084033615
status_<COMMA>,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
status_<PERIOD>,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
status_for,0.022845275181723784,0.001746422359979509,1.0,0.011554621848739496
status_is,0.022845275181723784,0.001746422359979509,1.0,0.011554621848739496
status_of,0.024896265560165977,0.0019069082083730663,1.0,0.012605042016806723
status_or,0.014598540145985401,0.0011073639704031783,1.0,0.007352941176470588
stay,0.11089108910891089,0.005184861410463159,0.9655172413793104,0.058823529411764705
stay_<PERIOD>,0.014598540145985401,0.0011073639704031783,1.0,0.007352941176470588
stay_at,0.012526096033402923,9.483167377904324E-4,1.0,0.0063025210084033615
stay_on,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
stay_tuned,0.024896265560165977,0.0019069082083730663,1.0,0.012605042016806723
stay_with,0.012526096033402923,9.483167377904324E-4,1.0,0.0063025210084033615
staying,0.04316546762589929,0.0033644288117449066,1.0,0.022058823529411766
staying_in,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
staying_with,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
stays,0.04717948717948719,0.003691571398346813,1.0,0.02415966386554622
stays_<PLUSSIGN>,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
steak,0.012526096033402923,9.483167377904324E-4,1.0,0.0063025210084033615
steak_<COMMA>,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
steel,0.024896265560165977,0.0019069082083730663,1.0,0.012605042016806723
steel_thermo-bottle,0.02079002079002079,0.0015862257920313658,1.0,0.01050420168067227
steeler,0.012526096033402923,9.483167377904324E-4,1.0,0.0063025210084033615
steelers,0.05714285714285715,0.004514672686230267,1.0,0.029411764705882353
steelers_<PERIOD>,0.012526096033402923,9.483167377904324E-4,1.0,0.0063025210084033615
step,0.058823529411764705,-0.005320795318879254,0.8529411764705882,0.03046218487394958
step_back,0.016666666666666666,0.0012666973744818045,1.0,0.008403361344537815
stephanie,0.03901437371663244,-0.0029010015015233847,0.8636363636363636,0.01995798319327731
stephanie_owens,0.024896265560165977,0.0019069082083730663,1.0,0.012605042016806723
stephen,0.07272727272727272,0.001834400934952749,0.9473684210526315,0.037815126050420166
stephen_alexander,0.028985507246376812,0.002228750886435006,1.0,0.014705882352941176
stephen_davis,0.03913491246138002,0.0030384752378806146,1.0,0.01995798319327731
stepped,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
steps,0.028985507246376812,0.002228750886435006,1.0,0.014705882352941176
steve,0.13502935420743642,0.009497385551168488,0.9857142857142858,0.07247899159663866
steve_</a>,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
steve_mcnair,0.08064516129032258,0.006521223618686264,1.0,0.04201680672268908
steve_nadalin,0.012526096033402923,9.483167377904324E-4,1.0,0.0063025210084033615
stewart,0.08249496981891348,0.0046772684752104795,0.9761904761904762,0.0430672268907563
stewart_</b>,0.014598540145985401,0.0011073639704031783,1.0,0.007352941176470588
stewart_<COMMA>,0.012526096033402923,9.483167377904324E-4,1.0,0.0063025210084033615
stewart_<OPENPAREN>,0.016666666666666666,0.0012666973744818045,1.0,0.008403361344537815
stewart_is,0.01044932079414838,7.895549063659594E-4,1.0,0.005252100840336135
